Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-01-01,INFY,EQ,1042.05,1037.7,1044.5,1030.0,1032.15,1033.55,1036.23,2715670,281404558435000.0,65839,1776744,0.6543000000000001
2018-01-02,INFY,EQ,1033.55,1037.25,1042.0,1023.0,1028.3,1029.7,1031.43,3056124,315217505855000.0,122157,2066488,0.6762
2018-01-03,INFY,EQ,1029.7,1028.5,1031.6,1018.6,1022.0,1021.3,1022.55,3423276,350047531880000.0,132588,2428553,0.7094
2018-01-04,INFY,EQ,1021.3,1021.0,1021.0,1009.6,1015.0,1015.4,1014.48,4473807,453856605810000.06,81236,3101206,0.6931999999999999
2018-01-05,INFY,EQ,1015.4,1015.3,1026.4,1006.0,1014.25,1012.0,1012.92,5512988,558419377375000.0,134727,3907486,0.7088
2018-01-08,INFY,EQ,1012.0,1024.9,1039.0,1020.05,1035.2,1036.05,1029.31,2797345,287933734620000.0,73704,1672022,0.5977
2018-01-09,INFY,EQ,1036.05,1040.0,1044.9,1028.9,1039.0,1041.35,1036.46,4974118,515547037889999.94,119611,3285996,0.6606000000000001
2018-01-10,INFY,EQ,1041.35,1046.8,1056.0,1033.05,1053.0,1052.25,1043.96,4734317,494242149564999.94,100562,2588309,0.5467000000000001
2018-01-11,INFY,EQ,1052.25,1055.25,1083.4,1055.25,1076.5,1075.8,1069.86,8387735,897369687615000.0,134085,5432620,0.6476999999999999
2018-01-12,INFY,EQ,1075.8,1085.8,1085.9,1070.55,1078.65,1078.45,1077.02,9008264,970206854054999.9,138377,6331013,0.7028
2018-01-15,INFY,EQ,1078.45,1080.0,1092.95,1065.1,1081.0,1081.15,1080.89,5324625,575534384860000.0,132189,2580059,0.48460000000000003
2018-01-16,INFY,EQ,1081.15,1081.25,1134.8,1081.25,1125.0,1122.85,1116.71,11323483,1264506468375000.0,222629,5830742,0.5149
2018-01-17,INFY,EQ,1122.85,1124.85,1161.8,1123.0,1148.0,1152.1,1150.95,13077044,1505107512295000.0,331838,8123219,0.6212
2018-01-18,INFY,EQ,1152.1,1145.0,1164.9,1132.1,1152.0,1152.7,1148.19,6602485,758088644615000.0,148758,4382098,0.6637000000000001
2018-01-19,INFY,EQ,1152.7,1145.0,1147.9,1136.0,1145.9,1143.45,1142.09,2994139,341957844960000.0,104184,1946826,0.6502
2018-01-22,INFY,EQ,1143.45,1132.15,1156.95,1132.0,1148.1,1150.0,1144.31,4825107,552142725910000.06,136884,3164249,0.6558
2018-01-23,INFY,EQ,1150.0,1155.0,1188.0,1155.0,1176.0,1177.1,1176.85,7701898,906394590115000.0,178542,4413789,0.5731
2018-01-24,INFY,EQ,1177.1,1174.8,1221.05,1167.5,1182.85,1185.8,1195.52,10302359,1231670090955000.0,204464,5942177,0.5768
2018-01-25,INFY,EQ,1185.8,1182.0,1183.4,1162.25,1173.7,1175.4,1171.54,6774457,793655000400000.0,137327,4319803,0.6377
2018-01-29,INFY,EQ,1175.4,1166.55,1196.25,1165.2,1180.55,1182.9,1185.12,5411501,641329345950000.0,188700,3575679,0.6607999999999999
2018-01-30,INFY,EQ,1182.9,1178.9,1183.1,1162.7,1168.0,1170.65,1169.32,4314156,504464700650000.0,139977,2953957,0.6847
2018-01-31,INFY,EQ,1170.65,1159.15,1166.6,1142.15,1149.1,1150.25,1153.93,4606849,531599968130000.0,118772,3306082,0.7176
2018-02-01,INFY,EQ,1150.25,1142.2,1157.9,1118.55,1144.0,1144.6,1141.19,6502727,742085313500000.0,147460,3808868,0.5857
2018-02-02,INFY,EQ,1144.6,1135.25,1162.9,1130.1,1145.3,1143.25,1144.88,5122243,586436039980000.0,112441,3377137,0.6593000000000001
2018-02-05,INFY,EQ,1143.25,1140.0,1154.85,1135.85,1139.9,1138.2,1143.33,4930110,563674320535000.0,146880,3737354,0.7581
2018-02-06,INFY,EQ,1138.2,1099.95,1128.35,1095.15,1111.4,1107.75,1113.87,5276039,587680070865000.0,136315,3479245,0.6594
2018-02-07,INFY,EQ,1107.75,1116.0,1124.8,1103.55,1108.0,1109.05,1113.49,4171028,464437862735000.06,147324,2763817,0.6626000000000001
2018-02-08,INFY,EQ,1109.05,1122.8,1146.4,1116.55,1133.0,1134.25,1138.52,4403622,501361314139999.94,105295,2891380,0.6566
2018-02-09,INFY,EQ,1134.25,1118.0,1120.3,1106.0,1112.0,1109.15,1112.64,2191345,243818478565000.0,88836,1186875,0.5416
2018-02-12,INFY,EQ,1109.15,1114.8,1120.6,1097.8,1101.0,1102.8,1106.85,3145986,348214721955000.0,52343,1986846,0.6315
2018-02-14,INFY,EQ,1102.8,1106.0,1117.3,1090.2,1091.0,1097.75,1106.89,4172856,461890528035000.06,113292,3010045,0.7212999999999999
2018-02-15,INFY,EQ,1097.75,1103.0,1129.7,1103.0,1113.5,1114.45,1118.96,3993368,446841399295000.0,99941,2439471,0.6109
